symbol,name,type,region,marketOpen,marketClose,timezone,currency,matchScore
ISHG,ISHARES 13 YEAR INTERNATIONAL TREASURY BOND ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.6000
ESGE,iShare Inc iShares ESG Aware MSCI EM ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.4000
SHYG,iShares 0-5 Year High Yield Corporate Bond ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.4000
STIP,iShares 0-5 Year TIPS Bond ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.3333
SGOV,iShares 0-3 Month Treasury Bond ETF,Equity,United States,09:30,16:00,UTC-05,USD,0.2927
TLH,iShares 10-20 Year Treasury Bond ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.2857
IGLB,iShares 10 Year Investment Grade Corporate Bond ETF,ETF,United States,09:30,16:00,UTC-05,USD,0.2105
CBO.TRT,iShares 1-5 Year Laddered Corporate Bond Index ETF Common Class,ETF,Toronto,09:30,16:00,UTC-05,CAD,0.1739
CBH.TRT,iShares 1-10 Year Laddered Corporate Bond Index ETF Common Class,ETF,Toronto,09:30,16:00,UTC-05,CAD,0.1714
CLG.TRT,iShares 1-10 Year Laddered Government Bond Index ETF Common Class,ETF,Toronto,09:30,16:00,UTC-05,CAD,0.1690
